player_id,player_name,games,ppg,orpg,drpg,trpg,apg,spg,bpg,3pm,3pa,3pct,ftm,fta,ftpct
11737,Eric Rosiello,22,15.2,1.3,5,6.3,2.4,0.7,0.2,1.6,3.6,0.444,1.7,2.5,0.68
11738,Nick Frongillo,9,5,1.7,2.1,3.8,2.1,0.9,0.1,0.3,1.8,0.167,0.9,1.4,0.643
11761,Pat Kelley,57,18.3,0.7,5.4,6.1,3.8,1.3,0.6,3.9,9.6,0.406,2.4,3,0.8
12026,Chris Carroll,2,0,1,4,5,1.5,0,0,0,0,NaN,0,0,NaN
12027,Steve Hansen,11,4.9,0.8,2.4,3.2,2.8,0.8,0.4,0.4,1.4,0.286,0,0.3,0
12028,Maurice Klaehne,28,9,2.9,3.4,6.3,1.7,2,0.5,0.5,3.1,0.161,1,2.1,0.476
12029,Eric Wingen,9,22.8,1,3.4,4.4,3.4,1.4,0.4,2.3,4.4,0.523,2.4,3.8,0.632
12030,Michael Bottomley,8,13.2,2.8,3.1,5.9,2,0.8,1,0,0.1,0,1.8,2.9,0.621
12031,John Flynn,11,13.5,2.5,8.7,11.3,1.9,1,0.7,0,0.1,0,0.5,1.5,0.333
12032,James Case,8,8.8,0.9,2.8,3.6,0.9,1.4,1,0.9,3.6,0.25,0.4,0.9,0.444
12033,William Hayes,9,8.4,1.9,6,7.9,1.2,0.4,0.1,0.7,1.7,0.412,0.9,1.4,0.643
12034,Cory Gans,18,13.7,1.3,4.8,6.2,1.7,0.9,0.6,2.3,6.2,0.371,1.3,2.4,0.542
12035,Ryan Bierderbeck,10,17.2,1.1,3.3,4.4,2.4,1.3,0.8,2.4,6.1,0.393,1.2,1.6,0.75
12038,Liam Crane,16,9.5,3.8,3.9,7.7,3.2,1.4,0.4,0.2,0.9,0.222,0.9,2.4,0.375
12039,Dan Barbour,22,25.4,1.5,5.5,7,2.1,1,0.1,1.5,3.5,0.429,3.3,4,0.825
12330,Chris Rullan,9,2.4,2,3,5,0.4,0,0.4,0,0,NaN,0,0,NaN
12337,Craig Baranowski,54,7.9,2.2,3.5,5.7,0.7,0.4,0.2,0.2,0.9,0.222,0.2,0.5,0.4
12338,Sequan Spigner,5,6.4,0.8,4,4.8,0.8,0.8,0.6,0,0.6,0,0,0,NaN
12350,Dan Peterson,9,10,0.2,3.9,4.1,1.4,1.8,0,2.3,6.6,0.348,0.1,0.3,0.333
12725,Sammy Abdellas,63,9.8,1.3,4.1,5.4,0.9,0.5,0.7,1.4,5.2,0.269,0.6,1.2,0.5
12726,David Cox,38,14.1,3.1,7.8,10.8,2.7,1.4,0.6,0.4,1.2,0.333,1.8,2.6,0.692
12728,Nick Dechillo,24,7.5,2.4,3.1,5.5,1.5,0.7,0.4,0,0.2,0,1.6,3.3,0.485
12729,Colin Sullivan,7,2.1,0.7,1.3,2,0.7,0.3,0.1,0.1,1.3,0.077,0,0,NaN
12730,Chuck Dunnigan,18,6.3,0.3,2.5,2.8,1.7,0.2,0.3,0.8,2.4,0.333,1.2,1.4,0.857
12731,Steven Le,1,6,0,2,2,0,0,0,2,4,0.5,0,0,NaN
12732,Ethan Bushelle,21,8.1,2.8,4,6.9,1,0.7,0.5,0.6,1.8,0.333,0.2,0.5,0.4
12856,Sam Pollock,34,14.1,2.8,6,8.8,2.8,0.9,0.4,1,2.2,0.455,1.1,1.6,0.688
12957,Matt Medeiros,25,33.4,0.7,5.2,6,4.2,1.3,0.3,6.6,15.1,0.437,4.4,5.5,0.8
12964,Ben Koller,33,12.2,3,7.1,10.1,1.8,0.6,1,0.2,0.5,0.4,1.3,2,0.65
13508,George Skelton,13,21.2,3.7,5.5,9.2,2.5,2.8,0.8,0.7,3,0.233,2.1,3.3,0.636
13509,Mitch Thompson,11,5.2,0.6,1.9,2.5,1.4,0.5,0.1,1.3,4.8,0.271,0.1,0.2,0.5
13510,Alec Devon,18,12.2,2.1,5.1,7.2,1.8,1.9,0,0.8,3.3,0.242,1.4,2.4,0.583
13511,Phil DeSeignora,13,29.6,1.3,3.3,4.6,1.4,1.6,0.3,5.6,12.1,0.463,3.5,4.8,0.729
13512,Robert Hughes,13,6.9,2.1,4.7,6.8,1.5,0.8,0.2,0.1,0.4,0.25,0.8,1.2,0.667
13548,Mike Cawley,16,11.5,2,4.4,6.4,1.8,0.9,0.9,0.2,0.9,0.222,1.7,2.1,0.81
13777,Jake Dahlstrom,8,5.8,1.6,5.6,7.2,1.6,0.4,1.2,0.5,3,0.167,0.2,0.2,1
13780,Ryan Hof,33,26,0.6,5.1,5.7,2.7,0.9,0.7,4.4,11.6,0.379,3.6,5.2,0.692
13859,Marc Gasser-Wingate,18,14.6,1.8,9.1,10.8,3.6,0.9,0.5,2.3,5.8,0.397,0.6,1.1,0.545
13870,Mathieu Despots,9,4.9,0.9,3.9,4.8,1,0.4,0.1,0,0.9,0,0.8,1.8,0.444
13880,John Martin,18,13.8,1.3,3.7,5,2.2,1,0.6,0.9,2.7,0.333,1.9,2.4,0.792
14050,Jeremy Hare,5,9,1.4,3.8,5.2,1.6,1,0.8,1.4,4,0.35,0,0,NaN
14051,Eliot Green,19,19.1,0.7,3.8,4.6,1.5,1.3,0.2,3.6,7.7,0.468,1.9,1.9,1
14136,Jeffrey Yates,12,23.8,1.1,4.3,5.4,1.7,0.8,0,4.2,9.5,0.442,1.5,1.8,0.833
14213,Jeff Etienne,3,8.7,1,4.7,5.7,0.3,0,0.7,0,1,0,0,0,NaN
14275,"Andrew ""Bogut"" King",10,16.1,5.4,8.4,13.8,3.5,1.8,1.2,0.1,0.7,0.143,3.4,6.2,0.548
14279,Ben Baynes,5,12.8,1.6,4.8,6.4,0.4,1.4,1.4,1.8,4.6,0.391,0.6,1,0.6
14280,Tyler Bouchard,10,7.3,1.3,5.8,7.1,1,0.5,0.8,0.6,2.3,0.261,0.3,0.4,0.75
14281,Ben Warsh,4,2.5,0.8,1.5,2.2,0.8,0.2,0,0,0,NaN,0,0,NaN
14545,Lyon Van Voorhis,33,19.3,2.8,9.2,12,2.2,1.4,2.1,1.5,3.9,0.385,1.7,3.8,0.447
14568,Tyson Hallowell,5,29.4,2,4.8,6.8,3.4,1.6,0.6,4.6,11.8,0.39,3.2,4.8,0.667
14811,Kevin Clarke,11,21.1,1.1,7.5,8.5,2.4,1.3,1.2,1.5,4.3,0.349,2.3,2.7,0.852
14814,Austin Kodra,3,12.7,3.7,6.7,10.3,0.3,0.3,1.7,2.3,6,0.383,1.7,2.7,0.63
14826,Nate Toll,9,16.9,0.9,3.8,4.7,1.9,0.3,0,3.1,7.8,0.397,0.7,1.2,0.583
15849,Adam Blake,10,20.6,1.2,5.5,6.7,2.1,1.4,0.1,5,12.4,0.403,1.2,1.8,0.667
15850,Jackson Forelli,11,2.3,1.1,2,3.1,1.1,0.8,0.1,0.1,0.5,0.2,0.2,0.4,0.5
15851,Sean Murphy,7,4.1,2.7,3.7,6.4,0.4,0.3,1,0,0.4,0,0.4,1.4,0.286
15852,Itamar Zik,5,11,2.8,6,8.8,2.2,0.8,0,1,3.2,0.312,1.2,2.2,0.545
